article_url,page_url,page_no,game,resolution,gpu,fps,chart_rank
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RX 7600 $250 2048 64 2250 MHz 2625 MHz 2250 MHz Navi 33 13300M 8 GB, GDDR6, 128-bit",128.0,1
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RX 7600 XT $400 2048 64 2470 MHz 2755 MHz 2250 MHz Navi 33 13300M 16 GB, GDDR6, 128-bit",128.0,2
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RTX 4060 $270 3072 48 1830 MHz 2460 MHz 2125 MHz AD107 18900M 8 GB, GDDR6, 128-bit",128.0,3
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"Arc A770 $250 4096 128 2100 MHz N/A 2187 MHz ACM-G10 21700M 16 GB, GDDR6, 256-bit",256.0,4
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RTX 4060 Ti $380 4352 48 2310 MHz 2535 MHz 2250 MHz AD106 22900M 8 GB, GDDR6, 128-bit",128.0,5
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RX 7700 XT $450 3456 96 2171 MHz 2544 MHz 2250 MHz Navi 32 26500M 12 GB, GDDR6, 192-bit",192.0,6
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RTX 5060 Ti $380 4608 48 2407 MHz 2572 MHz 1750 MHz GB206 21900M 8 GB, GDDR7, 128-bit",128.0,7
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"Gainward RTX 5060 Ti 8 GB Ghost $380 4608 48 2407 MHz 2572 MHz 1750 MHz GB206 21900M 8 GB, GDDR7, 128-bit",128.0,8
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RTX 5060 Ti 16 GB $430 4608 48 2407 MHz 2572 MHz 1750 MHz GB206 21900M 16 GB, GDDR7, 128-bit",128.0,9
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RTX 4070 $500 5888 64 1920 MHz 2475 MHz 1313 MHz AD104 35800M 12 GB, GDDR6X, 192-bit",192.0,10
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RX 7800 XT $540 3840 96 2124 MHz 2430 MHz 2425 MHz Navi 32 28100M 16 GB, GDDR6, 256-bit",256.0,11
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RTX 4070 Super $600 7168 80 1980 MHz 2475 MHz 1313 MHz AD104 35800M 12 GB, GDDR6X, 192-bit",192.0,12
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RX 7900 GRE $650 5120 160 1880 MHz 2245 MHz 2250 MHz Navi 31 57700M 16 GB, GDDR6, 256-bit",256.0,13
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RTX 4070 Ti $700 7680 80 2310 MHz 2610 MHz 1313 MHz AD104 35800M 12 GB, GDDR6X, 192-bit",192.0,14
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RTX 5070 $600 6144 80 2325 MHz 2512 MHz 1750 MHz GB205 31100M 12 GB, GDDR7, 192-bit",192.0,15
https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,https://www.techpowerup.com/review/gainward-geforce-rtx-5060-ti-8-gb/,1,NVIDIA GeForce RTX 5060 Ti 8 GB Review - So Many Compromises,unknown,"RTX 4070 Ti Super $860 8448 96 2340 MHz 2610 MHz 1313 MHz AD103 45900M 16 GB, GDDR6X, 256-bit",256.0,16
