ID,SKU,IMAGE,PRICE,TITLE,HANDLE,CPU,GPU,RAM,STORAGE,COOLER,MOTHERBOARD,CASE,PSU,INVENTORY,COMPARE PRICE,TYPE,CATEGORY,USECASE,form_factor,persona_tags,style_tags,strengths,target_resolution,score_res_1080p,score_res_1440p,score_res_1440p_heavy,score_res_4k_light,score_res_4k_heavy,score_game_fortnite,score_game_gta_v,score_game_cod,score_game_diablo,score_game_starfield,score_game_league,score_game_sim_racing,score_game_flight_sim,score_game_cyberpunk,score_game_apex,score_game_valorant,score_game_bg3,score_work_documents,score_work_creative,score_work_coding,score_work_3d,score_study_assignments,score_study_online_classes,score_study_creative_software,score_study_stem,score_essentials_browsing,score_essentials_streaming,score_essentials_office_apps,score_essentials_light_gaming
RTS_1,RTS-SG-LVL-10W-AETHER-M1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/AETHERLVL10ICEMAX_74230cad-dbec-4459-880f-9124dbf1d4a9.webp?v=1754031532,8695,AETHER : LVL 10 ICE MAX,https://aftershockpc.com.au/products/aether-lvl-10-ice-max-r9-9950x3d-rtx-5090,AMD Ryzen 9 9950X3D | 16 Cores 32 Threads,Gigabyte RTX 5090 Aorus Master Ice - 32GB,32GB ADATA Lancer Blade RGB DDR5 6400MHz CL32 (White) (16x2),2TB Lexar NQ780 Gen4 SSD (R 7000MBs | W 5000MBs),Aftershock Glacier Digital 360mm - White,Gigabyte X870E Aorus Pro Ice,Phanteks Evolv S2 White,1000W Deepcool ATX3.0 (Cybenetics Platinum),1,11000,Desktop,RTS,Gaming,Desktop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""1440p Gamer""]","[""RGB Showcase"", ""White Build""]","[""excellent-1440p-performance"", ""future-proof-specs"", ""4k-capable"", ""best-for-creative-workflows""]","[""1080p"", ""1440p""]",10,10,8,7,6,10,9,10,9,9,10,10,9,9,10,10,9,8,9,8,9,9,10,9,9,10,10,10,10
RTS_2,RTS-AU-APEX5060-V1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/APEX16R5060_0cecdc4d-9d92-4455-a7a1-a35aa3063f10.jpg?v=1754273456,2195,AFTERSHOCK APEX 16R,https://aftershockpc.com.au/products/aftershock-apex-16r-r9-8940hx-rtx-5060,AMD Ryzen 9 8940HX Processor (16 Cores),Nvidia Geforce RTX 5060 8GB GDDR7,32GB Crucial 5600MHz DDR5 SODIMM (2x16GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),,,,80 Whr Large Battery,6,2700,Laptop,RTS,Workstation,Laptop,"[""Home Office"", ""Engineering Student"", ""Light Gamer""]","[""Minimalist""]","[""excellent-1440p-performance""]",[],5,4,3,2,2,5,5,5,5,5,6,5,5,5,6,7,5,7,6,6,5,8,10,6,7,10,10,10,7
RTS_3,RTS-AU-APEX5070-V1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/APEX16R5070_66cdfac7-f775-45f0-8431-1748f2562a5d.jpg?v=1754273485,2495,AFTERSHOCK APEX 16R,https://aftershockpc.com.au/products/aftershock-apex-16r-r9-8940hx-rtx-5070,AMD Ryzen 9 8940HX Processor (16 Cores),Nvidia Geforce RTX 5070 8GB GDDR7,32GB Crucial 5600MHz DDR5 SODIMM (2x16GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),,,,80 Whr Large Battery,5,3000,Laptop,RTS,Workstation,Laptop,"[""Home Office"", ""Engineering Student""]","[""Minimalist""]","[""excellent-1440p-performance""]","[""1080p""]",7,5,4,4,2,7,6,7,6,6,7,7,6,6,8,8,6,7,6,6,6,8,10,7,7,10,10,10,10
RTS_4,RTS-AU-LUNAR-14R-V4,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/Lunar14R_3b8e1da8-bc6f-4d19-ba68-cb7ec9f21530.jpg?v=1754273585,1349,AFTERSHOCK Lunar 14R,https://aftershockpc.com.au/products/lunar-14r-r7-8845hs-r-780m,AMD Ryzen 7 8845HS Processor | 5.1 GHz | 8 Cores 16 Threads,AMD Radeon 780M Graphics,16GB Crucial 5600MHz DDR5 SODIMM (2x8GB),1TB Gen4 Lexar NQ790 M.2. NVME (R 7000MBs | W 6000MBs),,,,80Whr Battery,1,1800,Laptop,RTS,Workstation,Laptop,"[""Student"", ""Budget-Conscious""]","[""Ultraportable""]","[""ultraportable-laptop"", ""budget-friendly""]",[],2,1,1,1,1,3,3,2,2,3,4,3,3,2,3,4,3,5,4,5,3,6,10,4,6,10,10,10,3
RTS_5,RTS-AU-LUNAR-14R-SP,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/Lunar14R_5302b5f5-7f3b-45ec-a0e7-d5292276bdef.jpg?v=1754273606,1495,AFTERSHOCK Lunar 14R,https://aftershockpc.com.au/products/lunar-14r-r7-8845hs-r-780m-1,AMD Ryzen 7 8845HS Processor | 5.1 GHz | 8 Cores 16 Threads,AMD Radeon 780M Graphics,32GB Silicon Power 5600MHz DDR5 SODIMM (2x16GB),2TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),,,,80Whr Battery,5,1800,Laptop,RTS,Gaming,Laptop,"[""Student"", ""Budget-Conscious"", ""Engineering Student""]","[""Ultraportable""]","[""ultraportable-laptop"", ""budget-friendly""]",[],2,1,1,1,1,3,3,2,2,3,4,3,3,2,3,4,3,6,4,5,3,7,10,4,7,10,10,10,3
RTS_6,RTS-AU-X16-5090-V1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/X16PRO5090_00c22a3b-dd0c-4650-8dd2-8c1e6e72ed79.jpg?v=1754273742,5995,AFTERSHOCK X-16 PRO,https://aftershockpc.com.au/products/x-16-pro-ultra-9-275hx-rtx-5090,Intel Core Ultra 9 275HX Processor (24 Cores),Nvidia Geforce RTX 5090 24GB GDDR7,64GB Crucial 5600MHz DDR5 SODIMM (2x32GB),2TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6500MBs),,,,99Whr Battery,3,6400,Laptop,RTS,Workstation,Laptop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""Engineering Student""]","[""Premium Aesthetic""]","[""excellent-1440p-performance"", ""future-proof-specs"", ""best-for-creative-workflows""]","[""1080p"", ""1440p""]",10,8,6,5,5,10,9,10,9,9,10,10,9,9,10,10,9,9,9,9,9,9,10,9,9,10,10,10,10
RTS_7,WS-RTS-AU-CREATOR-AMD-V2,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/AMDCreator_d3da16aa-7d65-4f9b-9bdb-176e3a013462.png?v=1754274177,2195,AMD CREATOR,https://aftershockpc.com.au/products/amd-creator-r7-7700-rtx-5060-ti-16gb,AMD Ryzen 7 7700 | 5.3 GHz | 8 Cores 16 Threads,Asus RTX 5060Ti Prime OC - 16GB,32GB Crucial Pro 5600MHz (2x16GB),2TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6500MBs),Aftershock M-42 Frost Air Cooler - Black,Asus Prime B650M-A WIFI II CSM - DDR5,Lian Li A3 Dan - Black,750W Inwin 80+ Gold,7,2500,Desktop,RTS,Workstation,Desktop,"[""Home Office"", ""Engineering Student"", ""Light Gamer""]","[""Compact"", ""Workstation Style""]","[""excellent-1440p-performance""]",[],6,5,4,3,2,5,5,5,5,5,6,5,5,5,6,7,5,7,6,6,5,8,10,6,7,10,10,10,7
RTS_8,WS-RTS-903-P1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/WS-RTS-903-P1_dcf032c6-be5d-4d95-992d-891791ba9066.png?v=1754274128,4995,ANNIVERSARY CREATOR,https://aftershockpc.com.au/products/anniversary-creator-r9-9950x-rtx-5080-p1,AMD Ryzen 9 9950X | 5.7GHz | 16 Core 32 Threads,Asus RTX 5080 Prime OC - 16GB,64GB Crucial Pro 5600MHz (2x32GB),2TB Gen4 Kingston KC3000 M.2. NVME (R 7000MBs | W 7000MBs),Aftershock Glacier Mirror 360mm,Asus Prime X870-P Wi-Fi CSM - DDR5,Montech 903 Base - Black,1050W Inwin 80+ Platinum - Modular - PCIe 5.0,6,5500,Desktop,RTS,Workstation,Desktop,"[""Software Developer"", ""Home Office"", ""Creative Professional"", ""1440p Gamer""]","[""Workstation Style""]","[""excellent-1440p-performance"", ""future-proof-specs"", ""best-for-creative-workflows""]","[""1080p"", ""1440p""]",10,9,7,6,5,9,9,9,9,9,10,9,9,9,10,10,9,9,9,9,9,9,10,9,9,10,10,10,10
RTS_9,WS-RTS-NUC-OFFICE-V1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/ASUSNUC_6d5ee14e-fc8c-4919-8169-c512e1afed4b.png?v=1754274009,1249,ASUS NUC 15 OFFICE,https://aftershockpc.com.au/products/asus-nuc-15-office-ultra-5-225h-arc™-130t,Intel Core Ultra 5 225H | 4.9GHz | 14 Core 14 Threads,Intel® Arc™ 130T GPU,32GB Crucial 5600MHz DDR5 SODIMM (2x16GB),1TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6000MBs),,,ASUS NUC 15 Pro Core Ultra 5 225H,,1,1500,Desktop,RTS,Workstation,Desktop,"[""Student"", ""Budget-Conscious""]","[""Compact"", ""White Build""]","[""budget-friendly"", ""compact-form-factor""]",[],2,2,1,1,1,2,2,2,2,2,3,2,2,2,2,3,2,5,3,4,2,6,10,4,5,10,10,10,3
RTS_10,WS-RTS-NUC-OFFICE-PRO-P1,https://cdn.shopify.com/s/files/1/0522/3320/7988/files/ASUSNUC_908c3558-c787-43ce-81b7-128b1938a906.png?v=1754274030,1699,ASUS NUC 15 OFFICE PRO,https://aftershockpc.com.au/products/asus-nuc-15-office-pro-ultra-7-255h-arc™-140t,Intel Core Ultra 7 255H | 5.1GHz | 16 cores 16 threads,Intel® Arc™ 140T GPU,32GB Crucial 5600MHz DDR5 SODIMM (2x16GB),2TB Gen4 Silicon Power US75 M.2. NVME (R 7000MBs | W 6500MBs),,,ASUS NUC 15 Pro Core Ultra 7 255H,,5,2100,Desktop,RTS,Workstation,Desktop,"[""Light Gamer""]","[""Compact"", ""Premium Aesthetic"", ""White Build""]","[""compact-form-factor""]",[],2,2,1,1,1,2,2,2,2,2,3,2,2,2,2,3,2,5,3,4,2,6,10,4,5,10,10,10,3
